Row #,Species,Count,Location,S/P,Date,LocID,SubID,Coords
61,Iceland Gull - Larus glaucoides,1,Liberty SP,US-NJ,15 Feb 2021,L189035,S81642885,"40.7025698,-74.0493536"
62,American Tree Sparrow - Spizelloides arborea,1,Richard W. DeKorte Park,US-NJ,06 Feb 2021,L389007,S80539116,"40.7833,-74.1025167"
63,Virginia Rail - Rallus limicola,1,The Celery Farm,US-NJ,31 Jan 2021,L229904,S80213524,"41.0364972,-74.1271909"
64,Snowy Owl - Bubo scandiacus,1,Stephen R. Gregg County Park,US-NJ,30 Jan 2021,L389567,S80294714,"40.6818096,-74.1146278"
65,Townsend's Warbler - Setophaga townsendi,1,"stakeout Townsend's Warbler, Fycke Ln, Teaneck (2021)",US-NJ,24 Jan 2021,L13323984,S79830147,"40.8798863,-74.0087168"
66,King Eider - Somateria spectabilis,1,Manasquan Inlet (Monmouth Co.),US-NJ,23 Jan 2021,L13114649,S79775378,"40.103602, -74.034932"
67,Rusty Blackbird - Euphagus carolinus,1,The Celery Farm,US-NJ,18 Jan 2021,L229904,S79511919,"41.0364972,-74.1271909"
68,Carolina Chickadee - Poecile carolinensis,2,"281 South New York Road, Galloway, New Jersey, US (39.458, -74.465)",US-NJ,17 Jan 2021,L13306892,S79436835,"39.458, -74.465"
69,Common Redpoll - Acanthis flammea,15,Liberty SP,US-NJ,14 Jan 2021,L189035,S79247693,"40.7025698,-74.0493536"
70,Fox Sparrow - Passerella iliaca,1,Liberty SP,US-NJ,14 Jan 2021,L189035,S79247693,"40.7025698,-74.0493536"
71,Harlequin Duck - Histrionicus histrionicus,10,Barnegat Lighthouse SP,US-NJ,10 Jan 2021,L161004,S79057902,"39.7633333,-74.1058333"
72,Ruddy Turnstone - Arenaria interpres,4,Barnegat Lighthouse SP,US-NJ,10 Jan 2021,L161004,S79057902,"39.7633333,-74.1058333"
73,Purple Sandpiper - Calidris maritima,3,Barnegat Lighthouse SP,US-NJ,10 Jan 2021,L161004,S79057902,"39.7633333,-74.1058333"
74,Great Cormorant - Phalacrocorax carbo,1,Barnegat Lighthouse SP,US-NJ,10 Jan 2021,L161004,S79057902,"39.7633333,-74.1058333"
75,Boat-tailed Grackle - Quiscalus major,2,Barnegat Lighthouse SP,US-NJ,10 Jan 2021,L161004,S79057902,"39.7633333,-74.1058333"
76,Common Merganser - Mergus merganser,17,Overpeck County Park,US-NJ,09 Jan 2021,L283804,S78960013,"40.8665581,-74.0011184"
77,White-winged Scoter - Melanitta deglandi,3,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,01 Jan 2021,L10874116,S78434028,"40.467049, -73.998396"
78,Long-tailed Duck - Clangula hyemalis,5,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,01 Jan 2021,L10874116,S78434028,"40.467049, -73.998396"
